President,Date,Approve
Obama,1/16/2017,59
Obama,1/9/2017,57
Obama,1/2/2017,55
Obama,12/26/2016,55
Obama,12/19/2016,56
Obama,12/12/2016,56
Obama,12/5/2016,57
Obama,11/28/2016,54
Obama,11/21/2016,56
Obama,11/14/2016,56
Obama,11/7/2016,57
Obama,10/31/2016,53
Obama,10/24/2016,54
Obama,10/17/2016,55
Obama,10/10/2016,54
Obama,10/3/2016,52
Obama,9/26/2016,53
Obama,9/19/2016,53
Obama,9/12/2016,52
Obama,9/5/2016,51
Obama,8/29/2016,52
Obama,8/22/2016,51
Obama,8/15/2016,51
Obama,8/8/2016,52
Obama,8/1/2016,52
Obama,7/25/2016,53
Obama,7/18/2016,49
Obama,7/11/2016,49
Obama,7/4/2016,51
Obama,6/27/2016,51
Obama,6/20/2016,50
Obama,6/13/2016,53
Obama,6/6/2016,53
Obama,5/30/2016,51
Obama,5/23/2016,52
Obama,5/16/2016,51
Obama,5/9/2016,51
Obama,5/2/2016,52
Obama,4/25/2016,51
Obama,4/18/2016,51
Obama,4/11/2016,48
Obama,4/4/2016,51
Obama,3/28/2016,51
Obama,3/21/2016,53
Obama,3/14/2016,50
Obama,3/7/2016,51
Obama,2/29/2016,50
Obama,2/22/2016,48
Obama,2/15/2016,48
Obama,2/8/2016,48
Obama,2/1/2016,47
Obama,1/25/2016,48
Obama,1/18/2016,48
Obama,1/11/2016,48
Obama,1/4/2016,47
Obama,12/28/2015,45
Obama,12/21/2015,48
Obama,12/14/2015,45
Obama,12/7/2015,45
Obama,11/30/2015,47
Obama,11/23/2015,46
Obama,11/16/2015,44
Obama,11/9/2015,49
Obama,11/2/2015,49
Obama,10/26/2015,47
Obama,10/19/2015,46
Obama,10/12/2015,46
Obama,10/5/2015,46
Obama,9/28/2015,47
Obama,9/21/2015,48
Obama,9/14/2015,46
Obama,9/7/2015,46
Obama,8/31/2015,46
Obama,8/24/2015,46
Obama,8/17/2015,44
Obama,8/10/2015,46
Obama,8/3/2015,46
Obama,7/27/2015,46
Obama,7/20/2015,46
Obama,7/13/2015,46
Obama,7/6/2015,46
Obama,6/29/2015,46
Obama,6/22/2015,47
Obama,6/15/2015,45
Obama,6/8/2015,45
Obama,6/1/2015,46
Obama,5/25/2015,47
Obama,5/18/2015,46
Obama,5/11/2015,47
Obama,5/4/2015,47
Obama,4/27/2015,48
Obama,4/20/2015,45
Obama,4/13/2015,46
Obama,4/6/2015,48
Obama,3/30/2015,47
Obama,3/23/2015,46
Obama,3/16/2015,45
Obama,3/9/2015,47
Obama,3/2/2015,46
Obama,2/23/2015,45
Obama,2/16/2015,46
Obama,2/9/2015,47
Obama,2/2/2015,46
Obama,1/26/2015,47
Obama,1/19/2015,49
Obama,1/12/2015,46
Obama,1/5/2015,46
Obama,12/29/2014,46
Obama,12/22/2014,44
Obama,12/15/2014,45
Obama,12/8/2014,43
Obama,12/1/2014,43
Obama,11/24/2014,43
Obama,11/17/2014,42
Obama,11/10/2014,42
Obama,11/3/2014,40
Obama,10/27/2014,42
Obama,10/20/2014,42
Obama,10/13/2014,41
Obama,10/6/2014,41
Obama,9/29/2014,43
Obama,9/22/2014,42
Obama,9/15/2014,43
Obama,9/8/2014,41
Obama,9/1/2014,40
Obama,8/25/2014,41
Obama,8/18/2014,43
Obama,8/11/2014,41
Obama,8/4/2014,42
Obama,7/28/2014,42
Obama,7/21/2014,41
Obama,7/14/2014,43
Obama,7/7/2014,42
Obama,6/30/2014,43
Obama,6/23/2014,42
Obama,6/16/2014,41
Obama,6/9/2014,42
Obama,6/2/2014,44
Obama,5/26/2014,44
Obama,5/19/2014,43
Obama,5/12/2014,44
Obama,5/5/2014,45
Obama,4/28/2014,44
Obama,4/21/2014,44
Obama,4/14/2014,44
Obama,4/7/2014,43
Obama,3/31/2014,44
Obama,3/24/2014,43
Obama,3/17/2014,44
Obama,3/10/2014,40
Obama,3/3/2014,43
Obama,2/24/2014,42
Obama,2/17/2014,45
Obama,2/10/2014,40
Obama,2/3/2014,41
Obama,1/27/2014,42
Obama,1/20/2014,42
Obama,1/13/2014,40
Obama,1/6/2014,41
Obama,1/2/2014,41
Obama,12/23/2013,43
Obama,12/16/2013,40
Obama,12/9/2013,42
Obama,12/2/2013,41
Obama,11/25/2013,42
Obama,11/18/2013,40
Obama,11/11/2013,41
Obama,11/4/2013,41
Obama,10/28/2013,41
Obama,10/21/2013,43
Obama,10/14/2013,43
Obama,10/7/2013,42
Obama,9/30/2013,44
Obama,9/23/2013,45
Obama,9/16/2013,44
Obama,9/9/2013,45
Obama,9/2/2013,44
Obama,8/26/2013,44
Obama,8/19/2013,46
Obama,8/12/2013,46
Obama,8/5/2013,44
Obama,7/29/2013,45
Obama,7/22/2013,46
Obama,7/15/2013,47
Obama,7/8/2013,46
Obama,7/1/2013,46
Obama,6/24/2013,47
Obama,6/17/2013,46
Obama,6/10/2013,47
Obama,6/3/2013,48
Obama,5/27/2013,48
Obama,5/20/2013,49
Obama,5/13/2013,49
Obama,5/6/2013,49
Obama,4/29/2013,50
Obama,4/22/2013,51
Obama,4/15/2013,50
Obama,4/8/2013,49
Obama,4/1/2013,48
Obama,3/25/2013,48
Obama,3/18/2013,47
Obama,3/11/2013,48
Obama,3/4/2013,49
Obama,2/25/2013,49
Obama,2/18/2013,51
Obama,2/11/2013,51
Obama,2/4/2013,52
Obama,1/28/2013,53
Obama,1/21/2013,52
