President,Date,% Approve
Trump,1/20/2017,45
Trump,1/30/2017,43
Trump,2/6/2017,41
Trump,2/13/2017,40
Trump,2/20/2017,42
Trump,2/27/2017,43
Trump,3/6/2017,42
Trump,3/13/2017,40
Trump,3/20/2017,39
Trump,3/27/2017,38
Trump,4/3/2017,40
Trump,4/10/2017,40
Trump,4/17/2017,41
Trump,4/24/2017,41
Trump,5/1/2017,42
Trump,5/8/2017,38
Trump,5/15/2017,38
Trump,5/22/2017,41
Trump,5/29/2017,38
Trump,6/5/2017,37
Trump,6/12/2017,38
Trump,6/19/2017,39
Trump,6/25/2017,39
Trump,7/3/2017,38
Trump,7/10/2017,39
Trump,7/17/2017,37
Trump,7/24/2017,38
Trump,7/31/2017,37
Trump,8/7/2017,36
Trump,8/14/2017,37
Trump,8/21/2017,35
Trump,8/28/2017,36
Trump,9/4/2017,37
Trump,9/11/2017,38
Trump,9/18/2017,38
Trump,9/25/2017,37
Trump,10/2/2017,38
Trump,10/9/2017,37
Trump,10/16/2017,36
Trump,10/23/2017,35
Trump,10/30/2017,38
Trump,11/6/2017,38
Trump,11/13/2017,38
Trump,11/20/2017,37
Trump,11/27/2017,35
Trump,12/4/2017,36
Trump,12/11/2017,35
Trump,12/18/2017,37
Trump,12/25/2017,39
Trump,1/1/2018,37
Trump,1/8/2018,38
Trump,1/15/2018,36
Trump,1/22/2018,38
Trump,1/29/2018,40
Trump,2/5/2018,40
Trump,2/12/2018,37
Trump,2/19/2018,39
Trump,2/26/2018,39
Trump,3/5/2018,39
Trump,3/12/2018,40
Trump,3/19/2018,39
Trump,3/26/2018,39
Trump,4/2/2018,41
Trump,4/9/2018,39
Trump,4/16/2018,38
Trump,4/23/2018,42
Trump,4/30/2018,42
Trump,5/7/2018,43
Trump,5/14/2018,42
Trump,5/21/2018,40
Trump,5/28/2018,41
Trump,6/4/2018,42
Trump,6/11/2018,45
Trump,6/18/2018,41
Trump,6/25/2018,42
Trump,7/2/2018,41
Trump,7/9/2018,43
Trump,7/16/2018,42
Trump,7/23/2018,40
Trump,7/30/2018,41
Trump,8/6/2018,39
Trump,8/13/2018,42
Trump,8/20/2018,41
Trump,8/27/2018,41
Trump,9/3/2018,40
Trump,9/10/2018,38
Trump,9/17/2018,40
Trump,9/24/2018,42
Trump,10/1/2018,43
Trump,10/8/2018,44
Trump,10/15/2018,44
Trump,10/22/2018,40
Trump,10/29/2018,40
Trump,11/5/2018,38
Trump,11/12/2018,43
Trump,11/19/2018,38
Trump,11/26/2018,40
Trump,12/3/2018,40
Trump,12/10/2018,38
Trump,12/17/2018,39
Trump,1/2/2019,37
Trump,1/21/2019,37
Trump,2/1/2019,44
Trump,2/12/2019,43
Trump,3/1/2019,39
Trump,4/1/2019,45
Trump,4/17/2019,46
Trump,5/1/2019,42
Trump,5/15/2019,40
Trump,6/3/2019,43
Trump,6/19/2019,41
Trump,7/1/2019,44
Trump,7/15/2019,42
Trump,8/1/2019,41
Trump,8/15/2019,39
Trump,9/3/2019,43
Trump,9/16/2019,40
Trump,10/1/2019,39
Trump,10/14/2019,41
Trump,11/1/2019,43
Trump,12/2/2019,45
Trump,1/2/2020,44
Trump,1/16/2020,49
Trump,2/3/2020,49
Trump,2/17/2020,47
Trump,3/2/2020,44
Trump,3/13/2020,49
Trump,4/1/2020,43
Trump,4/14/2020,49
Trump,5/1/2020,49
Trump,5/28/2020,39
Trump,6/8/2020,38
Trump,7/1/2020,41
Trump,7/30/2020,42
Trump,8/31/2020,42
Trump,9/14/2020,46
Trump,9/30/2020,43
Trump,10/16/2020,46
Trump,11/5/2020,43
Trump,12/1/2020,39
Trump,1/4/2021,34
