month,country,president,count
2013-01-01,China,Obama,2
2013-01-01,Syria,Obama,1
2013-02-01,China,Obama,4
2013-02-01,Iran,Obama,1
2013-02-01,Israel,Obama,1
2013-02-01,North Korea,Obama,1
2013-02-01,Russia,Obama,1
2013-02-01,Syria,Obama,3
2013-03-01,China,Obama,1
2013-03-01,Israel,Obama,14
2013-03-01,Syria,Obama,1
2013-04-01,China,Obama,2
2013-04-01,Israel,Obama,1
2013-05-01,China,Obama,24
2013-05-01,Syria,Obama,2
2013-06-01,China,Obama,16
2013-06-01,Iran,Obama,2
2013-06-01,Syria,Obama,9
2013-07-01,China,Obama,7
2013-07-01,Israel,Obama,2
2013-07-01,Syria,Obama,4
2013-08-01,China,Obama,8
2013-08-01,Syria,Obama,17
2013-09-01,China,Obama,4
2013-09-01,Iran,Obama,10
2013-09-01,Israel,Obama,1
2013-09-01,Russia,Obama,2
2013-09-01,Syria,Obama,104
2013-10-01,China,Obama,9
2013-10-01,Israel,Obama,1
2013-10-01,Syria,Obama,4
2013-11-01,China,Obama,12
2013-11-01,Iran,Obama,21
2013-11-01,Syria,Obama,5
2013-12-01,China,Obama,14
2013-12-01,Syria,Obama,2
2014-01-01,China,Obama,11
2014-01-01,Iran,Obama,6
2014-01-01,Israel,Obama,1
2014-01-01,Russia,Obama,2
2014-01-01,Syria,Obama,2
2014-02-01,China,Obama,13
2014-02-01,Iran,Obama,1
2014-02-01,Russia,Obama,1
2014-03-01,China,Obama,4
2014-03-01,Russia,Obama,9
2014-03-01,Syria,Obama,3
2014-04-01,China,Obama,4
2014-04-01,Russia,Obama,1
2014-04-01,Syria,Obama,1
2014-05-01,China,Obama,8
2014-05-01,Iran,Obama,1
2014-05-01,Russia,Obama,2
2014-05-01,Syria,Obama,2
2014-06-01,China,Obama,10
2014-06-01,Israel,Obama,1
2014-06-01,Russia,Obama,1
2014-06-01,Syria,Obama,3
2014-07-01,China,Obama,5
2014-07-01,Cuba,Obama,1
2014-07-01,Russia,Obama,1
2014-07-01,Syria,Obama,2
2014-08-01,China,Obama,5
2014-08-01,Russia,Obama,3
2014-08-01,Syria,Obama,3
2014-09-01,China,Obama,7
2014-09-01,Iran,Obama,1
2014-09-01,Israel,Obama,1
